taxon,pure,null,empty,measurable,npos,nsim,species,nearest_window
Reptilia,False,0.029914529914529916,False,True,13,0.12871732,116570,BC2026_Train_0003_S08_20250607_070007_20
Amphibia,False,0.02564102564102564,False,True,79,0.12487,1491113,BC2026_Train_0025_S22_20211127_024500_55
Amphibia,True,0.021367521367521368,False,True,36,0.43802023,22961,BC2026_Train_0039_S22_20211231_201500_20
Amphibia,True,0.02564102564102564,False,True,155,0.2103814,22967,BC2026_Train_0025_S22_20211127_024500_55
Amphibia,True,0.02564102564102564,False,True,212,0.26109284,22973,BC2026_Train_0025_S22_20211127_024500_55
Amphibia,True,0.021367521367521368,False,True,175,0.56194735,23158,BC2026_Train_0039_S22_20211231_201500_20
Amphibia,True,0.029914529914529916,False,True,173,0.56710684,24279,BC2026_Train_0036_S22_20211224_234500_50
Amphibia,True,0.029914529914529916,False,True,172,0.48642027,24321,BC2026_Train_0036_S22_20211224_234500_50
Amphibia,True,0.03418803418803419,False,True,12,0.21530284,25073,BC2026_Train_0063_S19_20241214_190000_15
Amphibia,False,0.017094017094017096,False,True,24,0.2233406,25092,BC2026_Train_0039_S22_20211231_201500_45
Amphibia,True,0.03418803418803419,False,True,23,0.14377093,326272,BC2026_Train_0063_S19_20241214_190000_15
Mammalia,True,0.021367521367521368,False,True,12,0.22407955,43435,BC2026_Train_0065_S23_20241124_040002_60
Mammalia,False,0.021367521367521368,False,True,15,-0.0046665138,47144,BC2026_Train_0017_S22_20211026_233000_40
Insecta,True,0.029914529914529916,False,True,23,0.10131231,47158son01,BC2026_Train_0002_S08_20250607_030007_45
Insecta,True,0.021367521367521368,False,True,7,0.28874093,47158son02,BC2026_Train_0065_S23_20241124_040002_15
Insecta,False,0.029914529914529916,False,True,33,0.20454133,47158son03,BC2026_Train_0003_S08_20250607_070007_20
Insecta,True,0.017094017094017096,False,True,17,0.1910699,47158son04,BC2026_Train_0064_S23_20241124_032002_45
Insecta,True,0.03418803418803419,False,True,3,0.09367678,47158son05,BC2026_Train_0063_S19_20241214_190000_45
Insecta,True,0.021367521367521368,False,True,18,0.30466282,47158son06,BC2026_Train_0065_S23_20241124_040002_15
Insecta,True,0.017094017094017096,False,True,48,0.22257578,47158son07,BC2026_Train_0059_S15_20250617_060200_30
Insecta,True,0.029914529914529916,False,True,17,0.20494595,47158son08,BC2026_Train_0003_S08_20250607_070007_60
Insecta,True,0.029914529914529916,False,True,6,0.11393916,47158son09,BC2026_Train_0062_S19_20241213_193000_50
Insecta,True,0.017094017094017096,False,True,33,0.10175019,47158son10,BC2026_Train_0064_S23_20241124_032002_45
Insecta,True,0.029914529914529916,False,True,36,0.14132252,47158son11,BC2026_Train_0003_S08_20250607_070007_40
Insecta,True,0.029914529914529916,False,True,5,0.1280581,47158son12,BC2026_Train_0062_S19_20241213_193000_10
Insecta,True,0.038461538461538464,False,True,36,0.13731746,47158son13,BC2026_Train_0001_S08_20250606_030007_60
Insecta,True,0.021367521367521368,False,True,12,0.32209685,47158son14,BC2026_Train_0065_S23_20241124_040002_15
Insecta,True,0.021367521367521368,False,True,12,0.1727484,47158son15,BC2026_Train_0005_S08_20250607_070007_30
Insecta,True,0.021367521367521368,False,True,12,0.1727484,47158son16,BC2026_Train_0005_S08_20250607_070007_30
Insecta,True,0.029914529914529916,False,True,43,0.22721504,47158son17,BC2026_Train_0003_S08_20250607_070007_20
Insecta,True,0.021367521367521368,False,True,12,0.17916292,47158son18,BC2026_Train_0004_S08_20250607_070007_10
Insecta,True,0.029914529914529916,False,True,5,0.12796187,47158son19,BC2026_Train_0003_S08_20250607_070007_20
Insecta,True,0.029914529914529916,False,True,12,0.19498247,47158son20,BC2026_Train_0003_S08_20250607_070007_60
Insecta,True,0.038461538461538464,False,True,22,0.1984305,47158son21,BC2026_Train_0001_S08_20250606_030007_60
