species_index,species_code,taxon,n_positive_windows,perch_logit_mapped,perch_match_corr
0,1161364,Insecta,0,True,1.0
2,1176823,Amphibia,0,True,1.0
4,1595929,Amphibia,0,True,0.7496
5,209233,Mammalia,0,True,1.0
6,22930,Amphibia,0,True,1.0
7,22956,Amphibia,0,True,1.0
11,22983,Amphibia,0,True,1.0
12,22985,Amphibia,0,True,1.0
13,23150,Amphibia,0,True,1.0
14,23154,Amphibia,0,True,1.0
16,23176,Amphibia,0,True,1.0
17,23724,Amphibia,0,True,1.0
19,24285,Amphibia,0,True,1.0
20,24287,Amphibia,0,True,1.0
22,244024,Insecta,0,True,1.0
25,25214,Amphibia,0,True,1.0
27,41970,Mammalia,0,True,1.0
55,476521,Amphibia,0,True,1.0
56,516975,Mammalia,0,False,0.0
58,555123,Amphibia,0,True,1.0
59,555145,Amphibia,0,True,1.0
61,64898,Amphibia,0,True,1.0
67,70711,Amphibia,0,True,1.0
68,738183,Mammalia,0,True,1.0
70,74580,Mammalia,0,False,0.0
71,760266,Insecta,0,True,1.0
72,ashgre1,Aves,0,True,1.0
73,astcra1,Aves,0,True,1.0
75,baffal1,Aves,0,True,1.0
76,banana,Aves,0,True,1.0
77,barant1,Aves,0,True,1.0
78,batbel1,Aves,0,True,1.0
79,baymac,Aves,0,True,1.0
80,bbwduc,Aves,0,True,1.0
81,bcwfin2,Aves,0,True,1.0
82,bkcdon,Aves,0,True,1.0
83,bkhpar,Aves,0,True,1.0
84,blchaw1,Aves,0,True,1.0
85,blheag1,Aves,0,True,1.0
86,blttit1,Aves,0,True,1.0
87,bncfly,Aves,0,True,1.0
88,bobfly1,Aves,0,True,1.0
89,brcmar1,Aves,0,True,1.0
90,brnowl,Aves,0,True,1.0
91,bucmot4,Aves,0,True,1.0
92,bucpar,Aves,0,True,1.0
95,burowl,Aves,0,True,1.0
96,camfli1,Aves,0,True,1.0
98,chbmoc1,Aves,0,True,1.0
99,chobla1,Aves,0,True,1.0
101,cibspi1,Aves,0,True,1.0
102,coffal1,Aves,0,True,1.0
105,crbthr1,Aves,0,True,1.0
106,crebec1,Aves,0,True,1.0
107,dwatin1,Aves,0,True,1.0
108,epaori4,Aves,0,True,1.0
109,eulfly1,Aves,0,True,1.0
110,fabwre1,Aves,0,True,1.0
111,fepowl,Aves,0,True,1.0
112,ficman1,Aves,0,True,1.0
113,flawar1,Aves,0,True,1.0
114,fotfly,Aves,0,True,1.0
116,gilhum1,Aves,0,True,1.0
117,giwrai1,Aves,0,True,1.0
118,glteme1,Aves,0,True,1.0
119,grasal3,Aves,0,True,1.0
120,greani1,Aves,0,True,1.0
121,greant1,Aves,0,True,1.0
122,greela,Aves,0,True,1.0
123,grekis,Aves,0,True,1.0
124,grepot1,Aves,0,True,1.0
125,gretho2,Aves,0,True,1.0
126,greyel,Aves,0,True,1.0
127,grfdov1,Aves,0,True,1.0
128,grhtan1,Aves,0,True,1.0
129,gycwor1,Aves,0,True,1.0
130,horscr1,Aves,0,True,1.0
131,houspa,Aves,0,True,1.0
133,larela1,Aves,0,True,1.0
134,lesela1,Aves,0,True,1.0
135,lesgrf1,Aves,0,True,1.0
137,linwoo1,Aves,0,True,1.0
138,litcuc2,Aves,0,True,1.0
140,mabpar,Aves,0,True,1.0
142,magtan2,Aves,0,True,1.0
143,masgna1,Aves,0,True,1.0
145,ocecra1,Aves,0,True,1.0
146,oliwoo1,Aves,0,True,1.0
147,orbtro3,Aves,0,True,1.0
149,osprey,Aves,0,True,1.0
