species_index,species_code,taxon,n_positive_windows,perch_logit_mapped,perch_match_corr
1,116570,Reptilia,13,False,0.0
3,1491113,Amphibia,79,True,0.754
8,22961,Amphibia,36,True,1.0
9,22967,Amphibia,155,True,1.0
10,22973,Amphibia,212,True,1.0
15,23158,Amphibia,175,True,1.0
18,24279,Amphibia,173,True,1.0
21,24321,Amphibia,172,True,1.0
23,25073,Amphibia,12,True,0.9985
24,25092,Amphibia,24,True,1.0
26,326272,Amphibia,23,True,1.0
28,43435,Mammalia,12,True,1.0
29,47144,Mammalia,15,True,1.0
30,47158son01,Insecta,23,False,0.0
31,47158son02,Insecta,7,False,0.0
32,47158son03,Insecta,33,False,0.0
33,47158son04,Insecta,17,False,0.0
34,47158son05,Insecta,3,False,0.0
35,47158son06,Insecta,18,False,0.0
36,47158son07,Insecta,48,False,0.0
37,47158son08,Insecta,17,False,0.0
38,47158son09,Insecta,6,False,0.0
39,47158son10,Insecta,33,False,0.0
40,47158son11,Insecta,36,False,0.0
41,47158son12,Insecta,5,False,0.0
42,47158son13,Insecta,36,False,0.0
43,47158son14,Insecta,12,False,0.0
44,47158son15,Insecta,12,False,0.0
45,47158son16,Insecta,12,False,0.0
46,47158son17,Insecta,43,False,0.0
47,47158son18,Insecta,12,False,0.0
48,47158son19,Insecta,5,False,0.0
49,47158son20,Insecta,12,False,0.0
50,47158son21,Insecta,22,False,0.0
51,47158son22,Insecta,24,False,0.0
52,47158son23,Insecta,24,False,0.0
53,47158son24,Insecta,24,False,0.0
54,47158son25,Insecta,84,False,0.0
57,517063,Amphibia,307,True,1.0
60,555146,Amphibia,203,True,1.0
62,65377,Amphibia,9,True,1.0
63,65380,Amphibia,333,True,1.0
64,66971,Amphibia,149,True,1.0
65,67107,Amphibia,9,True,1.0
66,67252,Amphibia,2,True,1.0
69,74113,Mammalia,2,True,1.0
74,bafcur1,Aves,9,True,1.0
93,bufpar,Aves,14,True,1.0
94,bunibi1,Aves,2,True,1.0
97,chacha1,Aves,63,True,1.0
100,chvcon1,Aves,35,True,1.0
103,compau,Aves,37,True,1.0
104,compot1,Aves,3,True,1.0
115,fusfly1,Aves,3,True,1.0
132,hyamac1,Aves,10,True,1.0
136,limpki,Aves,3,True,1.0
139,litnig1,Aves,37,True,1.0
141,magant1,Aves,5,True,1.0
144,nacnig1,Aves,11,True,1.0
148,orwpar,Aves,13,True,1.0
160,purjay1,Aves,5,True,1.0
165,redjun,Aves,12,True,1.0
174,rufhor2,Aves,4,True,1.0
179,ruther1,Aves,1,True,1.0
180,rutjac1,Aves,1,True,1.0
190,sibtan2,Aves,1,True,1.0
206,strher2,Aves,2,True,1.0
214,trsowl,Aves,26,True,1.0
215,undtin1,Aves,43,True,1.0
219,wfwduc1,Aves,1,True,1.0
225,whtdov,Aves,63,True,1.0
